党,トウ・なかま・むら,party; faction; clique
復,フク・また,restore; return to; revert; resume
移,イ・うつ.る・うつ.す,"shift; move; change; drift; catch (cold, fire); pass into"
個,コ・カ,individual; counter for articles
門,モン・かど・と,gate; counter for cannons
課,カ,chapter; lesson; section; department; division; counter for chapters (of a book)
脳,ノウ・ドウ・のうずる,brain; memory
極,キョク・ゴク・きわ.める・きわ.まる・きわ.まり・きわ.み・き.める・~ぎ.め・き.まる,poles; settlement; conclusion; end; highest rank; electric poles; very; extremely; most; highly; 10**48
含,ガン・ふく.む・ふく.める,contain; include; hold in the mouth; bear in mind; understand; cherish
蔵,ゾウ・ソウ・くら・おさ.める・かく.れる,storehouse; hide; own; have; possess
量,リョウ・はか.る,quantity; measure; weight; amount; consider; estimate; surmise
型,ケイ・かた・~がた,mould; type; model
況,キョウ・まし.て・いわ.んや・おもむき,condition; situation
針,シン・はり,needle; pin; staple; stinger
専,セン・もっぱ.ら,specialty; exclusive; mainly; solely
谷,コク・たに・きわ.まる,valley
史,シ,history; chronicle
階,カイ・きざはし,storey; stair; counter for storeys of a building
管,カン・くだ,pipe; tube; wind instrument; drunken talk; control; jurisdiction
兵,ヘイ・ヒョウ・つわもの,soldier; private; troops; army; warfare; strategy; tactics
接,セツ・ショウ・つ.ぐ,touch; contact; adjoin; piece together
細,サイ・ほそ.い・ほそ.る・こま.か・こま.かい,dainty; get thin; taper; slender; narrow; detailed; precise
効,コウ・き.く・ききめ・なら.う,merit; efficacy; efficiency; benefit
丸,ガン・まる・まる.める・まる.い,round; full (month); perfection; -ship; pills; make round; roll up; curl up; seduce; explain away
湾,ワン・いりえ,gulf; bay; inlet
録,ロク・しる.す・と.る,record
省,セイ・ショウ・かえり.みる・はぶ.く,focus; government ministry; conserve
旧,キュウ・ふる.い・もと,old times; old things; old friend; former; ex-
橋,キョウ・はし,bridge
岸,ガン・きし,beach
周,シュウ・まわ.り,circumference; circuit; lap
材,ザイ,lumber; log; timber; wood; materials; ingredients; talent
戸,コ・と,door; counter for houses; door radical (no. 63)
央,オウ,center; middle
券,ケン,ticket
編,ヘン・あ.む・~あ.み,compilation; knit; plait; braid; twist; editing; completed poem; part of a book
捜,ソウ・シュ・シュウ・さが.す,search; look for; locate
竹,チク・たけ,bamboo
超,チョウ・こ.える・こ.す,transcend; super-; ultra-
並,ヘイ・ホウ・な.み・なみ・なら.べる・なら.ぶ・なら.びに,row; and; besides; as well as; line up; rank with; rival; equal
療,リョウ,heal; cure
採,サイ・と.る,pick; take; fetch; take up
森,シン・もり,forest; woods
競,キョウ・ケイ・きそ.う・せ.る・くら.べる,emulate; compete with; bid; sell at auction; bout; contest; race
