恐,キョウ・おそ.れる・おそ.る・おそ.ろしい・こわ.い・こわ.がる,fear; dread; awe
戻,レイ・もど.す・もど.る,re-; return; revert; resume; restore; go backwards
越,エツ・オツ・こ.す・~こ.す・~ご.し・こ.える・~ご.え,surpass; cross over; move to; exceed; Vietnam
互,ゴ・たが.い・かたみ.に,mutually; reciprocally; together
逃,トウ・に.げる・に.がす・のが.す・のが.れる,escape; flee; shirk; evade; set free
緒,ショ・チョ・お・いとぐち,thong; beginning; inception; end; cord; strap; mental or emotional state
掛,カイ・ケイ・か.ける・~か.ける・か.け・~か.け・~が.け・か.かる・~か.かる・~が.かる・か.かり・~が.かり・かかり・~がかり,hang; suspend; depend; arrive at; tax; pour
到,トウ・いた.る,arrival; proceed; reach; attain; result in
寝,シン・ね.る・ね.かす・い.ぬ・みたまや・や.める,lie down; sleep; rest; bed; remain unsold
盗,トウ・ぬす.む・ぬす.み,steal; rob; pilfer
御,ギョ・ゴ・おん~・お~・み~,honorable; manipulate; govern
吹,スイ・ふ.く,blow; breathe; puff; emit; smoke
娘,ジョウ・むすめ・こ,daughter; girl
怒,ド・ヌ・いか.る・おこ.る,angry; be offended
路,ロ・ル・~じ・みち,path; route; road; distance
他,タ・ほか,other; another; the others
客,キャク・カク,guest; visitor; customer; client
登,トウ・ト・ドウ・ショウ・チョウ・のぼ.る・あ.がる,ascend; climb up
速,ソク・はや.い・はや~・はや.める・すみ.やか,quick; fast
号,ゴウ・さけ.ぶ・よびな,nickname; number; item; title; pseudonym; name; call
苦,ク・くる.しい・~ぐる.しい・くる.しむ・くる.しめる・にが.い・にが.る,suffering; trial; worry; hardship; feel bitter; scowl
具,グ・そな.える・つぶさ.に,"tool; utensil; means; possess; ingredients; counter for armor, suits, sets of furniture"
返,ヘン・かえ.す・~かえ.す・かえ.る・~かえ.る,return; answer; fade; repay
宿,シュク・やど・やど.る・やど.す,inn; lodging; relay station; dwell; lodge; be pregnant; home; dwelling
薬,ヤク・くすり,medicine; chemical; enamel; gunpowder; benefit
幸,コウ・さいわ.い・さち・しあわ.せ,happiness; blessing; fortune
等,トウ・ひと.しい・など・~ら,etc.; and so forth; class (first); quality; equal; similar
曲,キョク・ま.がる・ま.げる・くま,bend; music; melody; composition; pleasure; injustice; fault; curve; crooked; perverse; lean
庭,テイ・にわ,courtyard; garden; yard
息,ソク・いき,breath; respiration; son; interest (on money)
列,レツ・レ,file; row; rank; tier; column
遊,ユウ・ユ・あそ.ぶ・あそ.ばす,play
君,クン・きみ・~ぎみ,mister; you; ruler; male name suffix
酒,シュ・さけ・さか~,sake; alcohol
悲,ヒ・かな.しい・かな.しむ,grieve; sad; deplore; regret
暗,アン・くら.い・くら.む・くれ.る,darkness; disappear; shade; informal; grow dark; be blinded
陽,ヨウ・ひ,sunshine; yang principle; positive; male; heaven; daytime
歯,シ・よわい・は・よわ.い・よわい.する,tooth; cog
礼,レイ・ライ,salute; bow; ceremony; thanks; remuneration
昔,セキ・シャク・むかし,once upon a time; antiquity; old times
泳,エイ・およ.ぐ,swim
箱,ソウ・はこ,box; chest; case; bin; railway car
寒,カン・さむ.い,cold
議,ギ,deliberation; consultation; debate; consideration
民,ミン・たみ,people; nation; subjects
連,レン・つら.なる・つら.ねる・つ.れる・~づ.れ,take along; lead; join; connect; party; gang; clique
選,セン・えら.ぶ,elect; select; choose; prefer
関,カン・せき・~ぜき・かか.わる・からくり・かんぬき,connection; barrier; gateway; involve; concerning
戦,セン・いくさ・たたか.う・おのの.く・そよ.ぐ・わなな.く,war; battle; match
最,サイ・シュ・もっと.も・つま,utmost; most; extreme
約,ヤク・つづ.まる・つづ.める・つづま.やか,promise; approximately; shrink
法,ホウ・ハッ・ホッ・フラン・のり,method; law; rule; principle; model; system
要,ヨウ・い.る・かなめ,need; main point; essence; pivot; key to
治,ジ・チ・おさ.める・おさ.まる・なお.る・なお.す,reign; be at peace; calm down; subdue; quell; govt; cure; heal; rule; conserve
成,セイ・ジョウ・な.る・な.す・~な.す,turn into; become; get; grow; elapse; reach
機,キ・はた,loom; mechanism; machine; airplane; opportunity; potency; efficacy; occasion
加,カ・くわ.える・くわ.わる,add; addition; increase; join; include; Canada
続,ゾク・ショク・コウ・キョウ・つづ.く・つづ.ける・つぐ.ない,continue; series; sequel
初,ショ・はじ.め・はじ.めて・はつ・はつ~・うい~・~そ.める・~ぞ.め,first time; beginning
産,サン・う.む・う.まれる・うぶ~・む.す,products; bear; give birth; yield; childbirth; native; property
共,キョウ・とも・とも.に・~ども,together; both; neither; all; and; alike; with
得,トク・え.る・う.る,gain; get; find; earn; acquire; can; may; able to; profit; advantage; benefit
