爾,ジ・ニ・なんじ・しかり・その・のみ・おれ・しか,you; thou; second person
虹,コウ・にじ,rainbow
泌,ヒツ・ヒ,ooze; flow; soak in; penetrate; secrete
漸,ゼン・ようや.く・やや・ようよ.う・すす.む,steadily; gradually advancing; finally; barely
蚊,ブン・か,mosquito
厄,ヤク,unlucky; misfortune; bad luck; disaster
藻,ソウ・も,seaweed; duckweed
嫡,チャク・テキ,legitimate wife; direct descent (non-bastard)
嚇,カク・おど.す,menacing; dignity; majesty; threaten
凸,トツ・でこ,convex; beetle brow; uneven
韻,イン,rhyme; elegance; tone
霜,ソウ・しも,frost
硝,ショウ,nitrate; saltpeter
勅,チョク・いまし.める・みことのり,imperial order
棺,カン,coffin; casket
儒,ジュ,Confucian
愁,シュウ・うれ.える・うれ.い,distress; grieve; lament; be anxious
楼,ロウ・たかどの,watchtower; lookout; high building
眉,ビ・ミ・まゆ,eyebrow
薪,シン・たきぎ・まき,fuel; firewood; kindling
褐,カツ,brown; woollen kimono
賜,シ・たまわ.る・たま.う・たも.う,grant; gift; boon; results
繕,ゼン・つくろ.う,darning; repair; mend; trim; tidy up; adjust
栓,セン,plug; bolt; cork; bung; stopper
凹,オウ・くぼ.む・へこ.む・ぼこ,concave; hollow; sunken
艶,エン・つや・なま.めかしい・あで.やか・つや.めく・なま.めく,glossy; luster; glaze; polish; charm; colorful; captivating
錬,レン・ね.る,tempering; refine; drill; train; polish
衷,チュウ,inmost; heart; mind; inside
逐,チク,pursue; drive away; chase; accomplish; attain; commit
斥,セキ・しりぞ.ける,reject; retreat; recede; withdraw; repel; repulse
詔,ショウ・みことのり,imperial edict
憧,ショウ・トウ・ドウ・あこが.れる,yearn after; long for; aspire to; admire; adore
宵,ショウ・よい,wee hours; evening; early night
妄,モウ・ボウ・みだ.りに,delusion; unnecessarily; without authority; reckless
酌,シャク・く.む,bar-tending; serving sake; the host; draw (water); ladle; scoop; pump
頒,ハン・わか.つ,distribute; disseminate; partition; understand
肢,シ,limb; arms & legs
謄,トウ,mimeograph; copy
嗣,シ,heir; succeed
畝,ボウ・ホ・モ・ム・せ・うね,furrow; thirty tsubo; ridge; rib
抄,ショウ,extract; selection; summary; copy; spread thin
爽,ソウ・あき.らか・さわ.やか・たがう,refreshing; bracing; resonant; sweet; clear
惰,ダ,lazy; laziness
蛮,バン・えびす,barbarian
旺,オウ・キョウ・ゴウ・かがや.き・うつくし.い・さかん,flourishing; successful; beautiful; vigorous
壱,イチ・イツ・ひとつ,one (in documents)
瑠,ル・リュウ,lapis lazuli
侯,コウ,marquis; lord; daimyo
弧,コ,arc; arch; bow
附,フ・つ.ける・つ.く,affixed; attach; refer to; append
但,タン・ただ.し,however; but
芋,ウ・いも,potato
婆,バ・ばば・ばあ,old woman; grandma; wet nurse
倣,ホウ・なら.う,emulate; imitate
倹,ケン・つま.しい・つづまやか,frugal; economy; thrifty
繭,ケン・まゆ・きぬ,cocoon
謁,エツ,audience; audience (with king)
箇,カ・コ,counter for articles
且,ショ・ソ・ショウ・か.つ,moreover; also; furthermore
伎,ギ・キ・わざ・わざおぎ,deed; skill
斤,キン,axe; 1.32 lb; catty; counter for loaves of bread; axe radical (no. 69)
虞,グ・おそれ・おもんぱか.る・はか.る・うれ.える・あざむ.く・あやま.る・のぞ.む・たの.しむ,fear; uneasiness; anxiety; concern; expectation; consideration
墾,コン・は.る・ひら.く,ground-breaking; open up farmland
采,サイ・と.る・いろどり,dice; form; appearance; take; gather; coloring
爵,シャク,baron; peerage; court rank
遵,ジュン,abide by; follow; obey; learn
塑,ソ・でく,model; molding
汰,タ・タイ・おご.る・にご.る・よな.げる,washing; sieving; filtering; weeding out; luxury
旦,タン・ダン・あき.らか・あきら・ただし・あさ・あした,daybreak; dawn; morning
朕,チン,majestic plural; imperial we
痘,トウ,pox; smallpox
