爾,ジ・ニ・なんじ・しかり・その・のみ・おれ・しか,you; thou; second person
絞,コウ・しぼ.る・し.める・し.まる,strangle; constrict; wring
縁,エン・~ネン・ふち・ふちど.る・ゆかり・よすが・へり・えにし,affinity; relation; connection; edge; border; verge; brink
唯,ユイ・イ・ただ,solely; only; merely; simply
膨,ボウ・ふく.らむ・ふく.れる,swell; get fat; thick
耐,タイ・た.える,-proof; enduring
塾,ジュク,cram school; private school
漏,ロウ・も.る・も.れる・も.らす,leak; escape; time
慶,ケイ・よろこ.び,jubilation; congratulate; rejoice; be happy
猛,モウ,fierce; rave; rush; become furious; wildness; strength
芳,ホウ・かんば.しい,perfume; balmy; favorable; fragrant
懲,チョウ・こ.りる・こ.らす・こ.らしめる,penal; chastise; punish; discipline
剣,ケン・つるぎ,sabre; sword; blade; clock hand
彰,ショウ,patent; clear
棋,キ・ご,chess piece; Japanese chess; shogi
恒,コウ・つね・つねに,constancy; always
揚,ヨウ・あ.げる・~あ.げ・あ.がる,raise; elevate; hoist; praise; extol; fry in deep fat
冒,ボウ・おか.す,risk; face; defy; dare; damage; assume (a name)
倫,リン,ethics; companion
陳,チン・ひ.ねる,exhibit; state; relate; explain
憶,オク,recollection; think; remember
潜,セン・ひそ.む・もぐ.る・かく.れる・くぐ.る・ひそ.める,submerge; conceal; hide; lower (voice); hush
梨,リ・なし,pear tree
克,コク・か.つ,overcome; kindly; skillfully
岳,ガク・たけ,point; peak; mountain
概,ガイ・おおむ.ね,outline; condition; approximation; generally
拘,コウ・かか.わる,arrest; seize; concerned; adhere to; despite
黙,モク・ボク・だま.る・もだ.す,silence; become silent; stop speaking; leave as is
須,ス・シュ・すべから.く・すべし・ひげ・まつ・もち.いる・もと.める,ought; by all means; necessarily
偏,ヘン・かたよ.る,partial; side; left-side radical; inclining; biased
雰,フン,atmosphere; fog
遇,グウ・あ.う,meet; encounter; interview; treat; entertain; receive; deal with
諮,シ・はか.る,consult with
狭,キョウ・コウ・せま.い・せば.める・せば.まる・さ,cramped; narrow; contract; tight
卓,タク,eminent; table; desk; high
亀,キ・キュウ・キン・かめ,tortoise; turtle
糧,リョウ・ロウ・かて,provisions; food; bread
簿,ボ,register; record book
炉,ロ・いろり,hearth; furnace; kiln; reactor
殊,シュ・こと,particularly; especially; exceptionally
殖,ショク・ふ.える・ふ.やす,augment; increase; multiply; raise
艦,カン,warship
輩,ハイ・~ばら・やから・やかい・ともがら,comrade; fellow; people; companions
奇,キ・く.しき・あや.しい・くし・めずら.しい,strange; strangeness; curiosity
慢,マン,ridicule; laziness
鶴,カク・つる,crane; stork
謀,ボウ・ム・はか.る・たばか.る・はかりごと,conspire; cheat; impose on; plan; devise; scheme; have in mind; deceive
拍,ハク・ヒョウ,clap; beat (music)
寛,カン・くつろ.ぐ・ひろ.い・ゆる.やか,tolerant; leniency; generosity; relax; feel at home; be at ease; broadminded
覆,フク・おお.う・くつがえ.す・くつがえ.る,capsize; cover; shade; mantle; be ruined
胞,ホウ,placenta; sac; sheath
隔,カク・へだ.てる・へだ.たる,isolate; alternate; distance; separate; gulf
浄,ジョウ・セイ・きよ.める・きよ.い,clean; purify; cleanse; exorcise; Manchu Dynasty
没,ボツ・モツ・おぼ.れる・しず.む・ない,drown; sink; hide; fall into; disappear; die
暇,カ・ひま・いとま,spare time; rest; leisure; time; leave of absence
貞,テイ・さだ,upright; chastity; constancy; righteousness
鑑,カン・かんが.みる・かがみ,specimen; take warning from; learn from
陰,イン・かげ・かげ.る,shade; yin; negative; sex organs; secret; shadow
銘,メイ,inscription; signature (of artisan)
随,ズイ・まにま.に・したが.う,follow; though; notwithstanding; while; during; both; all; obey; submit to; comply; at the mercy of (the waves)
烈,レツ・はげ.しい,ardent; violent; vehement; furious; severe; extreme
尋,ジン・たず.ねる・ひろ,inquire; fathom; look for
稿,コウ・わら・したがき,draft; copy; manuscript; straw
丹,タン・に,rust-colored; red; red lead; pills; sincerity
啓,ケイ・ひら.く・さと.す,disclose; open; say
丘,キュウ・おか,hill; knoll
棟,トウ・むね・むな~,ridgepole; ridge
壌,ジョウ・つち,lot; earth; soil
漫,マン・みだり.に・そぞ.ろ,cartoon; involuntarily; unrestrained; in spite of oneself; corrupt
玄,ゲン・くろ・くろ.い,mysterious; occultness; black; deep; profound
粘,ネン・ねば.る,sticky; glutinous; greasy; persevere
悟,ゴ・さと.る,enlightenment; perceive; discern; realize; understand
舗,ホ,shop; store; pave
妊,ニン・ジン・はら.む・みごも.る,pregnancy
騰,トウ・あが.る・のぼ.る,leaping up; jumping up; rising; advancing; going
遂,スイ・と.げる・つい.に,consummate; accomplish; attain; commit (suicide)
狂,キョウ・くる.う・くる.おしい・くるお.しい,lunatic; insane; crazy; confuse
